# phrase	weight	tags
中信兄弟	-2.4	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-25,last_seen=2026-06-26,seen_days_30=2,signal_14=4,signal_30=4,windows_14=24h+7d,max_traffic=2000
侯沁潔	-2.4	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-26,seen_days_30=1,signal_14=5,signal_30=5,windows_14=48h+7d,max_traffic=2000
傅娟	-2.4	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-26,seen_days_30=1,signal_14=5,signal_30=5,windows_14=48h+7d,max_traffic=2000
光鼎	-2.4	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-26,seen_days_30=1,signal_14=5,signal_30=5,windows_14=48h+7d,max_traffic=500
劉昱言	-2.4	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-26,seen_days_30=1,signal_14=5,signal_30=5,windows_14=48h+7d,max_traffic=2000
匿蹤戰機	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-25,last_seen=2026-06-26,seen_days_30=2,signal_14=7,signal_30=7,windows_14=24h+48h+7d,max_traffic=500
南電	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-25,last_seen=2026-06-26,seen_days_30=2,signal_14=7,signal_30=7,windows_14=24h+48h+7d,max_traffic=2000
台達電	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-25,last_seen=2026-06-26,seen_days_30=2,signal_14=7,signal_30=7,windows_14=24h+48h+7d,max_traffic=10000
周天成	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-25,last_seen=2026-06-26,seen_days_30=2,signal_14=7,signal_30=7,windows_14=24h+48h+7d,max_traffic=100
周韋翰	-2.4	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-26,seen_days_30=1,signal_14=5,signal_30=5,windows_14=48h+7d,max_traffic=5000
命理師	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-25,last_seen=2026-06-26,seen_days_30=2,signal_14=7,signal_30=7,windows_14=24h+48h+7d,max_traffic=5000
四貸同堂	-2.4	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-26,seen_days_30=1,signal_14=5,signal_30=5,windows_14=48h+7d,max_traffic=500
奇鋐	-2.4	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-26,seen_days_30=1,signal_14=5,signal_30=5,windows_14=48h+7d,max_traffic=200
孫藝真	-2.4	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-26,last_seen=2026-06-26,seen_days_30=1,signal_14=5,signal_30=5,windows_14=48h+7d,max_traffic=2000
岩手縣	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-25,last_seen=2026-06-26,seen_days_30=2,signal_14=7,signal_30=7,windows_14=24h+48h+7d,max_traffic=5000
廢校	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-25,last_seen=2026-06-26,seen_days_30=2,signal_14=7,signal_30=7,windows_14=24h+48h+7d,max_traffic=2000
旺宏	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-25,last_seen=2026-06-26,seen_days_30=2,signal_14=7,signal_30=7,windows_14=24h+48h+7d,max_traffic=500
曾馨瑩	-2.1	chiakey-auto-hotwords-overlay,auto,google-trends,first_seen=2026-06-25,last_seen=2026-06-26,seen_days_30=2,signal_14=7,signal_30=7,windows_14=24h+48h+7d,max_traffic=1000
