# qstring	phrase	weight	tags
L_4@8TKZ	不惜血本	-2.586809	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
qOL@	土除	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
Yc3@	夜騎	-1.482626	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
e0`Z3@FM	姑隱其名	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
?W;:E0	炒干絲	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
9`[3w?	煞車皮	-2.244600	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
U:`Zcf	牽引道	-1.856203	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
eGyg	肴肉	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
vODbNJb[	虎克船長	-3.304620	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
[3Yc	車業	-1.753574	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
|_Bbmg	大樂透	-1.723650	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CE^:1Upi	台灣彩券	-1.670712	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
C7=_1U	威力彩	-2.155164	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
X<~\?9	蒼井優	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
}MA0:PnH	雄獅旅遊	-1.140677	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
ljml1Upi	運動彩券	-1.713861	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
CE_;1K~K	台新銀行	-2.183409	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
5iq;	燦坤	-3.170057	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
zJ5_lI	陳意涵	-1.757601	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
:WBbz?	好樂迪	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
;ksh6dy<	浪漫月光	-1.473187	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
p1H<	花坊	-2.219882	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
VOJ`PL	比價王	-2.085695	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
wK\0wlec	房屋仲介	-1.196928	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
3>n?PL	公職王	-1.896526	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
TJJ`\0	原價屋	-2.223060	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
T0uHS<{K	犀牛蟑螂	-2.287789	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
m_X=0\	鉅亨網	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
dRBb:PnH	可樂旅遊	-1.285366	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
{h_;Dblj	和欣客運	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
?]0J	統聯	-2.301164	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
9KhjzB	林潤娥	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
SWJ`E0i=	小賈斯汀	-1.223157	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
1_KZn?4k	日本職棒	-1.441113	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
rFDbE0	維克斯	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
?]0JDblj	統聯客運	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
R02:	激安	-1.349000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
p?Dk>J[1	食尚玩家	-1.449379	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
Bb\00\	樂屋網	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
aJWB<iRO	全國電子	-0.971513	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
N:RONJ3@	天子傳奇	-1.871857	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
h<lg`_	香豆素	-2.400000	chiaki-synthetic-dialogue-overlay,reviewed,gpt-5.5-synthetic,synthetic-taiwan-internet-usage,noncommercial
